"Var1","Var2","Freq"
"Abaca, manila hemp, raw","area_harvested",837
"Agave fibres, raw, n.e.c.","area_harvested",1088
"Almonds, in shell","area_harvested",3476
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","area_harvested",3250
"Apples","area_harvested",6046
"Apricots","area_harvested",4792
"Areca nuts","area_harvested",1204
"Artichokes","area_harvested",2645
"Asparagus","area_harvested",3576
"Asses","area_harvested",0
"Avocados","area_harvested",5076
"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","area_harvested",0
"Bambara beans, dry","area_harvested",870
"Bananas","area_harvested",9292
"Barley","area_harvested",7290
"Beans, dry","area_harvested",8642
"Beef and Buffalo Meat, primary","area_harvested",0
"Beer of barley, malted","area_harvested",0
"Bees","area_harvested",0
"Beeswax","area_harvested",0
"Blueberries","area_harvested",1970
"Brazil nuts, in shell","area_harvested",150
"Broad beans and horse beans, dry","area_harvested",4964
"Broad beans and horse beans, green","area_harvested",4327
"Buckwheat","area_harvested",2633
"Buffalo","area_harvested",0
"Buffalo fat, unrendered","area_harvested",0
"Butter and Ghee","area_harvested",0
"Butter and ghee of sheep milk","area_harvested",0
"Butter of buffalo milk","area_harvested",0
"Butter of cow milk","area_harvested",0
"Butter of goat milk","area_harvested",0
"Buttermilk, dry","area_harvested",0
"Cabbages","area_harvested",9435
"Camels","area_harvested",0
"Canary seed","area_harvested",1664
"Cantaloupes and other melons","area_harvested",6876
"Carrots and turnips","area_harvested",8188
"Cashew nuts, in shell","area_harvested",2688
"Cashewapple","area_harvested",846
"Cassava leaves","area_harvested",221
"Cassava, fresh","area_harvested",7381
"Castor oil seeds","area_harvested",4181
"Cattle","area_harvested",0
"Cattle and Buffaloes","area_harvested",0
"Cattle fat, unrendered","area_harvested",0
"Cauliflowers and broccoli","area_harvested",6492
"Cereals n.e.c.","area_harvested",4343
"Cereals, primary","area_harvested",12251
"Cheese (All Kinds)","area_harvested",0
"Cheese from milk of buffalo, fresh or processed","area_harvested",0
"Cheese from milk of goats, fresh or processed","area_harvested",0
"Cheese from milk of sheep, fresh or processed","area_harvested",0
"Cheese from skimmed cow milk","area_harvested",0
"Cheese from whole cow milk","area_harvested",0
"Cherries","area_harvested",4351
"Chestnuts, in shell","area_harvested",2008
"Chick peas, dry","area_harvested",4395
"Chickens","area_harvested",0
"Chicory roots","area_harvested",1597
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","area_harvested",5136
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","area_harvested",7776
"Cinnamon and cinnamon-tree flowers, raw","area_harvested",1378
"Citrus Fruit, Total","area_harvested",9278
"Cloves (whole stems), raw","area_harvested",1302
"Cocoa beans","area_harvested",4823
"Coconut oil","area_harvested",0
"Coconuts, in shell","area_harvested",6025
"Coffee, green","area_harvested",6335
"Coir, raw","area_harvested",209
"Cotton lint, ginned","area_harvested",0
"Cotton seed","area_harvested",0
"Cottonseed oil","area_harvested",0
"Cow peas, dry","area_harvested",3528
"Cranberries","area_harvested",1023
"Cream, fresh","area_harvested",0
"Cucumbers and gherkins","area_harvested",8478
"Currants","area_harvested",2276
"Dates","area_harvested",3384
"Ducks","area_harvested",0
"Edible offal of buffalo, fresh, chilled or frozen","area_harvested",0
"Edible offal of cattle, fresh, chilled or frozen","area_harvested",0
"Edible offal of goat, fresh, chilled or frozen","area_harvested",0
"Edible offal of pigs, fresh, chilled or frozen","area_harvested",0
"Edible offal of sheep, fresh, chilled or frozen","area_harvested",0
"Edible offals of camels and other camelids, fresh, chilled or frozen","area_harvested",0
"Edible offals of horses and other equines,  fresh, chilled or frozen","area_harvested",0
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","area_harvested",5933
"Eggplants (aubergines)","area_harvested",6144
"Eggs from other birds in shell, fresh, n.e.c.","area_harvested",0
"Eggs Primary","area_harvested",0
"Evaporated & Condensed Milk","area_harvested",0
"Fat of camels","area_harvested",0
"Fat of pigs","area_harvested",0
"Fibre Crops, Fibre Equivalent","area_harvested",4821
"Figs","area_harvested",4008
"Flax, processed but not spun","area_harvested",2700
"Fonio","area_harvested",1065
"Fruit Primary","area_harvested",13114
"Game meat, fresh, chilled or frozen","area_harvested",0
"Geese","area_harvested",0
"Ghee from buffalo milk","area_harvested",0
"Ghee from cow milk","area_harvested",0
"Ginger, raw","area_harvested",2737
"Goat fat, unrendered","area_harvested",0
"Goats","area_harvested",0
"Gooseberries","area_harvested",1397
"Grapes","area_harvested",6578
"Green corn (maize)","area_harvested",3826
"Green garlic","area_harvested",6537
"Green tea (not fermented), black tea (fermented) and partly fermented tea","area_harvested",0
"Groundnut oil","area_harvested",0
"Groundnuts, excluding shelled","area_harvested",8603
"Hazelnuts, in shell","area_harvested",2245
"Hempseed","area_harvested",1496
"Hen eggs in shell, fresh","area_harvested",0
"Hop cones","area_harvested",2970
"Horse meat, fresh or chilled","area_harvested",0
"Horses","area_harvested",0
"Jojoba seeds","area_harvested",160
"Jute, raw or retted","area_harvested",2152
"Kapok fibre, raw","area_harvested",0
"Kapok fruit","area_harvested",305
"Kapokseed in shell","area_harvested",0
"Karite nuts (sheanuts)","area_harvested",910
"Kenaf, and other textile bast fibres, raw or retted","area_harvested",2690
"Kiwi fruit","area_harvested",1726
"Kola nuts","area_harvested",606
"Leeks and other alliaceous vegetables","area_harvested",3651
"Lemons and limes","area_harvested",7168
"Lentils, dry","area_harvested",4347
"Lettuce and chicory","area_harvested",6975
"Linseed","area_harvested",4669
"Locust beans (carobs)","area_harvested",1367
"Lupins","area_harvested",2404
"Maize (corn)","area_harvested",11301
"Mangoes, guavas and mangosteens","area_harvested",6387
"Margarine and shortening","area_harvested",0
"Maté leaves","area_harvested",443
"Meat of asses, fresh or chilled","area_harvested",0
"Meat of buffalo, fresh or chilled","area_harvested",0
"Meat of camels, fresh or chilled","area_harvested",0
"Meat of cattle with the bone, fresh or chilled","area_harvested",0
"Meat of chickens, fresh or chilled","area_harvested",0
"Meat of ducks, fresh or chilled","area_harvested",0
"Meat of geese, fresh or chilled","area_harvested",0
"Meat of goat, fresh or chilled","area_harvested",0
"Meat of mules, fresh or chilled","area_harvested",0
"Meat of other domestic camelids, fresh or chilled","area_harvested",0
"Meat of other domestic rodents, fresh or chilled","area_harvested",0
"Meat of pig with the bone, fresh or chilled","area_harvested",0
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","area_harvested",0
"Meat of rabbits and hares, fresh or chilled","area_harvested",0
"Meat of sheep, fresh or chilled","area_harvested",0
"Meat of turkeys, fresh or chilled","area_harvested",0
"Meat, Poultry","area_harvested",0
