AB.nm.		ADD12.63.21.3		ADD12.630.21.4		ADD23.63.21.5		ADD12.63.21.56		ADD1.63.21.7		ADD12.63.123.8
100		0.218890		0.219188		0.366448		0.367059		0.051138		0.018177
101		0.263336		0.263900		0.424526		0.425037		0.066444		0.021701
102		0.312618		0.313312		0.484916		0.115668		0.218890		0.544312
103		0.366448		0.367059		0.544312		0.051138		0.115668		0.177827
104		0.424526		0.425037		0.598790		0.066444		0.051138		0.045078
105		0.484916		0.485349		0.118490		0.172729		0.066444		0.060538
106		0.544312		0.544668		0.367059		0.034848		0.180546		0.271377
107		0.598790		0.599126		0.425037		0.044735		0.220286		0.327845
108		0.117481		0.312618		0.313312		0.266839		0.180206		0.117538
109		0.146607		0.366448		0.367059		0.323514		0.218890		0.146705
110		0.180206		0.424526		0.425037		0.177827		0.180206		0.180353
111		0.180206		0.484916		0.485349		0.045078		0.218890		0.219188
112		0.218890		0.544312		0.484916		0.485349		0.118490		0.172729
113		0.115668		0.177827		0.544312		0.544668		0.367059		0.034848
114		0.051138		0.045078		0.598790		0.599126		0.425037		0.044735
115		0.366448		0.367059		0.117481		0.312618		0.313312		0.266839
116		0.424526		0.425037		0.146607		0.366448		0.367059		0.323514
117		0.484916		0.115668		0.180206		0.424526		0.425037		0.177827
118		0.544312		0.051138		0.180206		0.484916		0.485349		0.045078
